epoch,train_loss,train_acc,val_loss,val_acc
1,1.2772477911480318,0.6292919310102975,0.28392998659467855,0.9123947972456006
2,0.3353696843154286,0.8987789715305895,0.09070741448117227,0.9787044121397602
3,0.21675777078581276,0.9352504224184652,0.0531199495223781,0.9862280030604438
4,0.1623985424700027,0.951477667612459,0.04859454070380135,0.9887783728640653
5,0.1399118013098747,0.9581407211400517,0.04949821510110635,0.9864830400408059
6,0.11126907068773927,0.9655051487231804,0.04512974070905271,0.9861004845702627
7,0.10348494948438818,0.9682468836675487,0.02976847063015849,0.9918388166284111
8,0.09861138013424924,0.9693627060286288,0.02335357434669492,0.9929864830400408
9,0.09877035586733413,0.9700003188063889,0.02101239768619103,0.993369038510584
10,0.07847801686743931,0.9769502980839736,0.02452922360750675,0.9940066309614894
11,0.08001593961509133,0.9750693403895814,0.016333709145226086,0.9942616679418516
12,0.07506707753454886,0.9770459400006376,0.021424732510180032,0.9923488905891354
13,0.07276284839534376,0.9780661204450537,0.010968365821040807,0.9965570007651109
14,0.06533298058118872,0.9800108394172219,0.01503636191110489,0.9961744452945677
15,0.07174564522302146,0.9776835527783977,0.010380399470857409,0.9969395562356542
16,0.07222701135192523,0.9781617623617177,0.013678134845523889,0.9957918898240244
17,0.06435682010094709,0.9811904230560781,0.007252975144214288,0.9973221117061974
18,0.05444818743246182,0.9838365160837823,0.014721381508681597,0.9961744452945677
19,0.05687800929423943,0.9830395001115823,0.019463410628334853,0.9946442234123948
20,0.05685390069119714,0.9828482162782542,0.011332848791259387,0.9965570007651109
21,0.05777186410205361,0.9823381260560462,0.00995547344841434,0.9973221117061974
22,0.025007215452590218,0.9931137820001913,0.004500628390465321,0.9991073705687324
23,0.018410947519795228,0.9944846494723755,0.0038745775907751594,0.9992348890589136
24,0.017660326005351952,0.9943252462779354,0.003867986705423619,0.9992348890589136
25,0.015567102249494423,0.9952497848056875,0.0035319989864322334,0.9992348890589136
